<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20240712,225100,107900,107900,107860,107860,21
20240712,225300,107910,107930,107910,107930,13
20240712,225500,107940,107960,107940,107960,24
20240712,225600,107930,107930,107920,107920,5
20240712,230000,107920,107920,107920,107920,1
20240712,230200,107940,107940,107890,107910,45
20240712,230300,107910,107920,107910,107920,11
20240712,230500,107910,107920,107910,107920,2
20240712,230600,107920,107920,107920,107920,1
20240712,230800,107920,107920,107920,107920,1
20240712,230900,107920,107920,107920,107920,4
20240712,231000,107930,107930,107930,107930,1
20240712,231100,107920,107930,107910,107930,5
20240712,231200,107940,107940,107940,107940,2
20240712,231300,107950,107950,107950,107950,2
20240712,231700,107920,107990,107920,107990,49
20240712,231800,108000,108000,108000,108000,10
20240712,231900,107990,108000,107990,107990,6
20240712,232000,108000,108000,108000,108000,5
20240712,232100,108000,108000,108000,108000,2
20240712,232200,108000,108000,107990,107990,41
20240712,232300,107990,107990,107990,107990,7
20240712,232400,107980,108000,107980,108000,12
20240712,232500,107990,108000,107990,108000,24
20240712,232600,108010,108010,107990,107990,13
20240712,232700,107990,107990,107990,107990,3
20240712,233000,108000,108080,107990,107990,127
20240712,233100,108000,108030,108000,108030,11
20240712,233200,108050,108060,108050,108060,15
20240712,233300,108060,108060,108010,108010,4
20240712,233500,108020,108020,108020,108020,4
20240712,233800,108040,108070,108040,108070,20
20240712,233900,108070,108070,108070,108070,6
20240712,234000,108050,108050,108010,108010,40
20240712,234100,108050,108060,108010,108020,16
20240712,234200,108020,108050,108010,108050,12
20240712,234400,108060,108070,108030,108030,5
20240712,234500,108030,108040,108030,108040,2
20240712,234600,108040,108050,108040,108050,3
20240712,234700,108050,108100,108050,108100,31
20240712,234800,108100,108110,108050,108050,6
20240712,234900,108090,108110,108070,108110,32
20240715,100000,108120,108130,107940,108050,448
20240715,100100,108040,108040,107790,107820,305
20240715,100200,107820,107850,107800,107830,186
20240715,100300,107860,107980,107840,107940,151
20240715,100400,107990,108190,107980,108190,394
20240715,100500,108180,108290,108160,108240,412
20240715,100600,108250,108270,108170,108200,226
20240715,100700,108170,108200,108040,108040,183
20240715,100800,108030,108060,107890,107940,179
20240715,100900,107930,108010,107890,107920,162
20240715,101000,107910,107910,107620,107640,389
20240715,101100,107640,107680,107560,107600,336
20240715,101200,107600,107650,107580,107580,126
20240715,101300,107590,107680,107510,107570,339
20240715,101400,107550,107720,107550,107640,231
20240715,101500,107620,107820,107620,107720,240
20240715,101600,107720,107730,107540,107580,212
20240715,101700,107550,107600,107420,107430,477
20240715,101800,107420,107580,107420,107530,432
20240715,101900,107520,107520,107260,107290,542
20240715,102000,107280,107340,107250,107260,394
